X,Z
0.0,0.0
-0.6601586374481346,-0.5708298341574745
-1.2645017426296263,-1.2156639623101217
-1.9319265724214736,-1.8021610123162972
-2.620990998024903,-2.357463915464268
-3.339232204788475,-2.9131362397390976
-3.9687148557282335,-3.5582300516585805
-4.566787396682786,-4.244656408310916
-5.22951026760829,-4.786826580521128
-5.872266466266067,-5.430877672839931
-6.526552056886855,-6.031883105676921
-7.162877556048504,-6.699074188320686
-7.846022746620679,-7.268058345215369
-8.440482418692895,-7.955682391031681
-9.114363467968971,-8.526960690044248
-9.766115431730189,-9.152373629326842
-10.482062076786303,-9.746445158997137
-11.049128141528529,-10.46508075664926
-11.713235546773177,-11.05064546074246
-12.343934958423716,-11.699292904307287
-13.032062432301162,-12.286181464624836
-13.671532496297552,-12.909542448996122
-14.365951169335634,-13.483817489600344
-15.031244875924381,-14.093830307321497
-15.782314939531675,-14.629148891086693
-16.447697045769374,-15.26500507866524
-17.098059023230537,-15.829550733189842
-17.789095174305082,-16.404397024248848
-18.311953024253054,-17.032162319633652
-18.978282924070843,-17.632876746588565
-19.633597780827365,-18.244223227521015
-20.272387270101568,-18.86167818010831
-20.89817998125894,-19.522199387233773
-20.793440055395326,-20.323297398773374
-21.402793288704505,-20.977199792625527
-22.01904631858141,-21.64909307404764
-22.632281955581593,-22.305627891734023
-23.11493579055044,-23.09680460533578
-23.391493366322354,-23.95009308715973
-23.90733993348511,-24.66410796288819
-24.4685238188985,-25.395196215519736
-25.117085212367893,-26.02995939243275
-25.66261590509722,-26.71321646382291
-26.303969529266627,-27.369928597930617
-26.939089974368336,-27.93652098849996
-27.552660048240835,-28.594912528342665
-28.05472610427775,-29.310662468753033
-28.68460763561077,-29.969211042691466
-29.271092848442446,-30.659673469594136
-29.895175048400418,-31.302235708170308
-30.47124442978038,-31.982869650015957
-30.478283579215475,-32.95735323741722
-31.12988221773942,-33.575132451947496
-31.64991130303412,-34.2925704572223
-32.23973639763326,-34.948416292115525
-32.80264221640847,-35.64533589510472
-33.35459431840736,-36.37249111686481
